class,replicate,seed,bin_start_um,bin_end_um,bin_center_um,K_median_MPa_sqrt_m,K_mean_MPa_sqrt_m,K_p10_MPa_sqrt_m,K_p90_MPa_sqrt_m,n,complete
ceramic,2,1102,75.0,100.0,87.5,9.360591150072024,9.38687387167305,9.269112484984456,9.530917979962666,6,True
ceramic,2,1102,100.0,125.0,112.5,9.450780012724621,9.465713711947924,9.252731687065854,9.693629436053296,6,True
ceramic,2,1102,125.0,150.0,137.5,10.001447878126648,10.036633772155026,9.548310956575724,10.67585942113312,7,True
ceramic,2,1102,150.0,175.0,162.5,9.404541699158353,9.414585486288564,8.853891954318444,9.965038154108743,7,True
ceramic,2,1102,175.0,200.0,187.5,9.245519250601983,9.03374063683013,8.320769737473487,9.534932922414923,6,True
ceramic,2,1102,200.0,225.0,212.5,18.036992288398785,16.895196021763386,11.181631744487632,21.466964032403745,6,True
ceramic,2,1102,225.0,250.0,237.5,10.347109707232486,10.473989644689047,9.265870459466012,11.808988767368643,6,True
ceramic,2,1102,250.0,275.0,262.5,12.663961397439724,12.401974532232131,11.033067137469379,13.51270723455088,5,True
ceramic,2,1102,275.0,300.0,287.5,13.359964269628005,13.293120627785674,12.76625222180796,13.75314539192106,6,True
ceramic,2,1102,300.0,325.0,312.5,12.684777010028991,12.65970520899975,12.45497382908921,12.80064761177771,7,True
ceramic,2,1102,325.0,350.0,337.5,12.479565663059468,12.404319558212064,11.82303405981115,12.90851568468001,8,True
ceramic,2,1102,350.0,375.0,362.5,14.446897472829212,14.442589444381337,13.416730449332794,15.454091854391828,7,True
ceramic,2,1102,375.0,400.0,387.5,15.67365203469237,15.705546079497948,15.506191115021105,15.938185255544669,7,True
ceramic,2,1102,400.0,425.0,412.5,15.40724970729649,13.850516681852653,10.057641588158816,16.086658750102657,6,True
ceramic,2,1102,425.0,450.0,437.5,15.73895591812484,15.245960356834315,14.107387646956647,15.969987983682708,7,True
ceramic,2,1102,450.0,475.0,462.5,16.11938869724034,16.12722269250494,15.68713681330468,16.52429261601325,7,True
ceramic,2,1102,475.0,500.0,487.5,17.488394239162268,17.497472219517686,16.951522760820907,18.117117833707,8,True
ceramic,2,1102,500.0,525.0,512.5,18.647237123043215,18.56468529582849,18.239464196518618,18.862985451925017,7,True
ceramic,2,1102,525.0,550.0,537.5,17.154320595691452,16.723481222689504,14.070404420951387,18.945718651425675,6,True
ceramic,2,1102,550.0,575.0,562.5,16.58994579911985,16.487597405555203,15.948995325485452,16.923851092060307,6,True
ceramic,2,1102,575.0,600.0,587.5,14.281569688602092,14.51442739660883,13.59687295877536,15.664839542449034,6,True
ceramic,2,1102,600.0,625.0,612.5,14.013422744866537,14.08695095993425,13.807010767976568,14.44041936695964,6,True
ceramic,2,1102,625.0,650.0,637.5,15.254218140169687,15.313096947973062,15.106136460809104,15.581303166755651,7,True
ceramic,2,1102,650.0,675.0,662.5,13.498763156925696,14.343955279548151,12.909377445696162,16.556557669211145,8,True
ceramic,2,1102,675.0,700.0,687.5,14.341927204788051,15.795724143836733,13.791865708140142,20.10710559626664,7,True
ceramic,2,1102,700.0,725.0,712.5,18.945590300692935,18.366024969813918,16.460130088069896,19.692354520678915,6,True
ceramic,2,1102,725.0,750.0,737.5,17.138372778890517,18.14432333338748,15.820686314234269,21.38222160191665,7,True
ceramic,2,1102,750.0,775.0,762.5,16.396012608489087,16.413600026205952,16.021071430024577,16.805298908530563,8,True
ceramic,2,1102,775.0,800.0,787.5,17.05461855234557,18.00323265244189,16.634022514983023,19.724335398223275,7,True
ceramic,2,1102,800.0,825.0,812.5,17.38730635176962,18.266687901717145,16.897863268986782,20.514894084395028,6,True
ceramic,2,1102,825.0,850.0,837.5,17.58037415185933,17.744191831989973,16.561023126585134,19.383760014733216,7,True
ceramic,2,1102,850.0,875.0,862.5,13.04295889847616,13.680018082774117,11.18544904921356,16.79913604333513,7,True
ceramic,2,1102,875.0,900.0,887.5,12.835927883340938,13.13636200564953,11.066419186145941,15.309312235649227,8,True
ceramic,2,1102,900.0,925.0,912.5,12.522534671682653,12.802830779102395,11.237585951635017,14.648371713989516,6,True
ceramic,2,1102,925.0,950.0,937.5,17.295079168627638,17.063478440016286,16.37285851465025,17.537648235779884,7,True
ceramic,2,1102,950.0,975.0,962.5,17.515510319052204,17.385011745735646,16.898300744040725,17.741224174114006,6,True
ceramic,2,1102,975.0,1000.0,987.5,16.165019986004733,15.97482838095183,15.499477671471187,16.377362689542384,7,True
ceramic,3,1103,0.0,25.0,12.5,9.194449719706933,9.216374733140883,8.936948361500189,9.51772611821553,6,True
ceramic,3,1103,25.0,50.0,37.5,9.203803447891271,9.242079392429433,9.044184382143813,9.478250347253216,6,True
ceramic,3,1103,50.0,75.0,62.5,10.099979155048768,9.992351429344078,9.588785985316232,10.42092060817138,7,True
ceramic,3,1103,75.0,100.0,87.5,9.376920560804841,9.353755808672537,9.231927757341362,9.45241910787141,6,True
ceramic,3,1103,100.0,125.0,112.5,9.716652759039668,9.744698313745666,9.36686414740264,10.150578034794687,6,True
ceramic,3,1103,125.0,150.0,137.5,12.07275501708594,11.77853161759968,9.786766425442472,13.356891416630273,7,True
ceramic,3,1103,150.0,175.0,162.5,11.473655726086465,11.616721590476638,9.852755317779636,13.32153867616874,7,True
ceramic,3,1103,175.0,200.0,187.5,9.239262196386624,9.36485741589871,9.003481148490174,9.820811005601819,7,True
ceramic,3,1103,200.0,225.0,212.5,10.256150005153957,10.237755594660909,10.146038271323029,10.31107850750574,6,True
ceramic,3,1103,225.0,250.0,237.5,10.595083531927372,10.598863050264708,10.322945600388664,10.877949845358339,7,True
ceramic,3,1103,250.0,275.0,262.5,11.301105300390796,11.312363455976845,11.188212422031178,11.447772645508566,6,True
ceramic,3,1103,275.0,300.0,287.5,11.878942970890288,11.8573068262914,11.609702569414841,12.073053648048386,8,True
ceramic,3,1103,300.0,325.0,312.5,12.600690624985814,12.566904304284582,12.340791107630476,12.75923118023746,6,True
ceramic,3,1103,325.0,350.0,337.5,15.644948370582211,14.769105881747901,11.46617827789213,17.418573835281084,5,True
ceramic,3,1103,350.0,375.0,362.5,15.4025010325879,14.975940033086323,13.765783347682005,15.935784015156155,5,True
ceramic,3,1103,375.0,400.0,387.5,13.619628962920615,13.27329614023499,11.112850838990667,15.08740861879369,6,True
ceramic,3,1103,400.0,425.0,412.5,10.13494456865235,11.456920915069448,9.329629688380269,14.906188488175726,6,True
ceramic,3,1103,425.0,450.0,437.5,14.608077413557755,14.010590093656285,10.014512979631482,17.40917988777963,6,True
ceramic,3,1103,450.0,475.0,462.5,17.55133119039627,17.13139342220726,15.346350113521805,18.49649896270371,6,True
ceramic,3,1103,475.0,500.0,487.5,17.56663030868611,17.546158482971226,17.032193442799258,18.03965169742832,6,True
ceramic,3,1103,500.0,525.0,512.5,16.677241296966393,16.667149855996858,16.520324390688256,16.823267659365285,7,True
ceramic,3,1103,525.0,550.0,537.5,16.7889828265402,16.788783089218413,16.719830503810492,16.85552337396804,7,True
ceramic,3,1103,550.0,575.0,562.5,16.581021483390607,16.624204137301664,16.350895218992513,16.902720608561932,7,True
