campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX4_developed,1b2d517b688e54687a05558a2f49fe493956722c26e77fef95c55c970a8959d9,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,ffd86be4be9ecabb0a043a5eef73fbe661de22d985bf7308cecbb238024d69c7,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,1e92a9316a4609f46240509e4e0081be71ff5e2b608a7c0e15e2165cad9fb448,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,4c0ba15946ff89f23d378a726545540d70ffa950067ccd5c9d31a29fe84b7d79,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e47895bf415cfb41c1a49273c67047673adc35fb93ecce10607aa621609fea2c,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,211ac7fe0e6d98b5624812f2f7815f6281ce5888c5d8527f624229d6696bfc49,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,a2c4082fb5decb2fb83c06d51a22914ef4718b024c254fd370e562848d38a782,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e15f9e37cac25967be6fddf7691621dd72c2205b78b3ae9c0da2f823620bdddf,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,664f942742a6485fa18022e61b67fdc37a67e9f049f40605092d4bb7273c3f96,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,ad73e6e3edaaac94dd645190a77117b316094e6ba1d33e06133ade5d3deec8b7,D6_conditional_persistent,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,248b832748571c0e4dfdcd0c99ef54b86447d7f050a9719ef922e1acdd20ac4b,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,2d55ef718b2a1cbb54384bb2f3bbb895152b8079f3d89e6e45aa54462ff4ae58,D1,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,b03e1086d513efba6ab1c075aaf021e5ab69b6bc3bb9ec2bc1d3a757b99e39d3,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,2f3acc81257c160709dd1a0a2e65c4910244bfc464c5f999edb865c2cc9d29c3,D2,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,a16d5bf067f24241d7edfd1e3ed6849134b7e739b8e1d69ba4482577ea3b87f8,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,d56961c08afe7b57c60a9a1f1c828da0ce07c93bee766d2ad446f1cb118fdccd,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,7cfc9c9d3658ca539b37d959d6e3bc67788fe7829597228e5a7da8e17349a0eb,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,3d75dca58f846a36e582aff63d8c84f57a58ba35eb6c3465d4683c502922d2a5,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,ac5de4e775b47e78afcd962f1b7d2b3d1ef51921f40dedaa81926c8c9fad4695,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,78d75b0fe736177d1e1b701c4f9bc7452328191caad0cbc397f33fd407fa6e60,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
